PLACA,CODIGO,Serie,Modelo,Marca,Fabricante_genesis,Logo,STATUS_NEVERAS,COOLERS_FROSTER,V_H,Valor_en_libros,VALOR_COMERCIAL,STATUS_V_LIBROS,AniodeAdquisicion,Anio_FI,Edad,RANGO,Capacidad_en_Botellas,Capacidad_en_Cajas,Capacidad_en_pies,Ubicacion,Ubicacion_Especifica,HOMOLOGACION_STATUS_INVENTARIO_MODIF,fecha_entrega,FICHA,NUMERO_EQUIPO,ACTIVO_FIJO,BAJA,TALLER,REGION_TALLER,GERENCIA_TALLER,TOTAL_PARQUE,en_cliente,flagModificado,BODEGA NUEVA,MANTENIMIENTO,LONGITUD,LATITUD
3022701,11895531,1.10E+13,Camara de Frio,CAMARA DE FRIO,487338,PILSENER LIGHT,0,COOLER,CF,-   ,"9,657.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,257,ENCI,ENCI,CLIENTE,9/1/2022,,0,1.5204E+11,0,,,,1,1,0,LA LIBERTAD,0,-2.20704,-80.97346
56172,14289893,56172,ECV-200,CODIFESA,200027,PILSENER,NUEVAS LIGHT,DRAUGHT,MD,-   ,608.41,SIN VALOR,2003,2003,22,>8 A�OS,0,0,200,ENCI,ENCI,CLIENTE,3/12/2025,,1000031590,1.5204E+11,0,,,,1,1,0,DURAN/GYE,0,-2.18494,-79.96894
3022819,13493045,18321114,LIFE 175,VINSERVICES,200308,SIN LOGO,REPOTENCIADO,DRAUGHT,MD,-   ,"1,320.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,10/22/2024,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,10,-2.1912,-79.88145
3022792,11935656,18321087,LIFE 175,VINSERVICES,200308,SIN LOGO,REPOTENCIADO,DRAUGHT,MD,-   ,"1,320.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,2/1/2022,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,3,-2.19029,-79.8788
3022816,11935656,18321111,LIFE 175,VINSERVICES,200308,SIN LOGO,REPOTENCIADO,DRAUGHT,MD,-   ,"1,320.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,10/14/2021,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,3,-2.19029,-79.8788
3022820,13180962,18321115,LIFE 175,VINSERVICES,200308,SIN LOGO,REPOTENCIADO,DRAUGHT,MD,-   ,"1,320.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,2/27/2024,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,4,-2.16953,-79.91808
3022804,11935794,18321099,LIFE 175,VINSERVICES,200308,STELLA ARTOIS,REPOTENCIADO,DRAUGHT,MD,-   ,"1,320.84",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,8/24/2022,,0,1.5204E+11,0,,,,1,1,0,QUITO,3,-0.1829,-78.47595
3022823,13261175,18321118,MAQUINA DISPENSADORA VINSERVICE 175,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,311.61",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,175,ENCI,ENCI,CLIENTE,8/24/2022,,0,1.5204E+11,0,,,,1,1,0,QUITO,0,-0.18338,-78.4873
3022747,11914084,18290207,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,10/4/2021,,0,1.5204E+11,0,,,,1,1,0,QUITO,4,-0.20394,-78.48143
3022745,12238701,18290205,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,6/16/2023,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,2,-2.19802,-79.88075
3022840,11936002,18290030,LIFE 130,VINSERVICES,200308,CLUB,,DRAUGHT,MD,-   ,"1,244.20",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,7/25/2025,,0,1.5204E+11,0,,,,1,1,0,QUITO,1,-0.12448,-78.36098
3022722,12221542,18290182,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,2/5/2020,,0,1.5204E+11,0,,,,1,1,0,QUITO,2,-0.19406,-78.49285
3022726,11935795,18290186,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,11/18/2015,,0,1.5204E+11,0,,,,1,1,0,QUITO,2,-2.21938,-79.92406
3022727,12172804,18290187,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,1/19/2003,,0,1.5204E+11,BAJAS DICIEMBRE,,,,1,1,0,QUITO,0,-0.19193,-78.4875
3022836,11908038,18290026,MAQUINA DISPENSADORA LIFE 130 COLDER,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,381.82",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,2/5/2020,,0,1.5204E+11,0,,,,1,1,0,QUITO,5,-0.29751,-78.4599
3022756,14268325,18290216,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,5/13/2025,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,6,-2.1575,-79.895
3022731,11935133,18290191,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,3/19/2012,,0,1.5204E+11,BAJAS DICIEMBRE,,,,1,1,0,AZOGUES,0,-2.89616,-79.00334
3022759,12924384,18290219,MAQUINA DISPENSADORA VINSERVICE 130,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,3/19/2015,,0,1.5204E+11,0,,,,1,1,0,DURAN/GYE,5,-2.18019,-79.94452
3022838,11935965,18290028,MAQUINA DISPENSADORA LIFE 130 COLDER,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,381.82",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,10/18/2017,,0,1.5204E+11,0,,,,1,1,0,QUITO,5,-0.20693,-78.4846
3022721,14393268,18290181,LIFE 130,VINSERVICES,200308,CLUB,,DRAUGHT,MD,-   ,"1,324.39",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,8/28/2025,,0,1.5204E+11,0,,,,1,1,0,QUITO,4,-0.20377,-78.49055
3022832,12786209,18290022,MAQUINA DISPENSADORA LIFE 130 COLDER,VINSERVICES,200308,CLUB,REPOTENCIADO,DRAUGHT,MD,-   ,"1,381.82",CON VALOR,2018,2018,7,< = 8 A�OS,0,0,130,ENCI,ENCI,CLIENTE,8/24/2022,,0,1.5204E+11,0,,,,1,1,0,QUITO,2,-0.19417,-78.486
 